"ME_NUMERO","ME_CTR","ME_PLACA","ME_D_SAIDA","ME_K_SAIDA","ME_H_SAIDA","ME_T_SAIDA","ME_D_RET","ME_K_RET","ME_H_RET","ME_T_RET","ME_D_PREV","ME_H_PREV","ME_QUANT","ME_TIPOKM","ME_VALUNIT","ME_FRANQ","ME_KMEXCED","ME_HREXCED","ME_BONUS","ME_SEGURO","ME_TAXASER","ME_V_ANTEC","ME_CAUCAO","ME_PROTEC","ME_TAXAENT","ME_VAL_MOT","ME_EXT_MOT","ME_LIMITE","ME_AVARIAS","ME_PERDAT","ME_DM","ME_DP","ME_DPP","ME_LCE","ME_SUBST","ME_HORAS_MIN","ME_RETIRAR","ME_LOJA","ME_MOTOAD","ME_TIPOCTR","ME_DESCONTO","ME_DIAEXCED","ME_FRANQUIA_TER","ME_L_SAIDA","ME_L_PREV","ME_SAIUTMP","ME_CONDUTOR","CONTRATO_ID","DEVOLVIDO_AVARIAS","OBSERVACAO","OPERADOR","CODIGOGRUPO","ME_UPGRADE","ID_SUBSTITUICAO","ME_VALORPREVISTO","LOCACAO_ID","TIPOLOCACAO","QTD_HORAS_EXC","ME_TARIFA","OP_RECEBEU_VEICULO","CUPOM_PROMOCIONAL","STATUS","ME_RESERVA","MOVIMENTO_ID","MEDICAO","QTD_DIAS","ME_SUBSTITUTO","VE_TITULAR","ME_VALOR_AQUISICAO","VALOR_LOCACAO","VALOR_AQUISICAO","FRANQUIA_LOCACAO","LOCALIZACAO_ID","TIPO_DESCONTO","ME_SERVICOADICIONAL","CODIGONOTAFISCAL","SAIDA","RETORNO","PREVISAO","VALOR_REAJUSTADO","INDICE_REAJUSTE","INDICE","KM_RODADO"
11,"00001125001",TTS0H70,2025-03-25,1112,09:00:00,"0  ",2025-10-01,32244,10:40:00,"0  ",2027-07-21,09:00:00,121,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,11,N,,,,0.0,,55120.0,,,0.0,,,,E,,,"001",190,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-10-01 10:40:00.000,2027-07-21 09:00:00.000,,,,31132
12,"00001225001",TTC5A25,2025-03-25,6218,09:00:00,"0  ",,,,,2027-07-13,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,12,N,,,,0.0,,54600.0,,,0.0,,,,A,,,"001",840,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-07-13 09:00:00.000,,,,0
13,"00001325001",TTL0H06,2025-03-25,4000,09:00:00,"0  ",2026-04-25,53838,11:47:00,"0  ",2027-07-13,09:00:00,120,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,13,N,,,,0.0,,54600.0,,,0.0,,,,E,,,"001",396,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2026-04-25 11:47:00.000,2027-07-13 09:00:00.000,,,,49838
14,"00001425001",TTH1B85,2025-03-25,3000,09:00:00,"0  ",,,,,2027-06-26,09:00:00,117,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,14,N,,,,0.0,,53495.0,,,0.0,,,,A,,,"001",823,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-06-26 09:00:00.000,,,,0
15,"00001525001",TUV0F35,2025-03-25,5000,09:00:00,"0  ",2025-09-03,49229,14:25:00,"0  ",2027-06-26,09:00:00,117,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,15,N,,,,0.0,,53495.0,,,0.0,,,,E,,,"001",162,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-09-03 14:25:00.000,2027-06-26 09:00:00.000,,,,44229
16,"00001625001",TTF3C22,2025-03-25,9422,09:00:00,"0  ",2025-07-02,25601,15:38:00,"0  ",2027-06-10,09:00:00,115,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,16,N,,,,0.0,,52455.0,,,0.0,,,,E,,,"001",99,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-07-02 15:38:00.000,2027-06-10 09:00:00.000,,,,16179
17,"00001725001",TTF3I06,2025-03-25,1,09:00:00,"0  ",2025-05-15,2220,10:00:00,"0  ",2025-05-14,09:00:00,7,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,17,N,,,,0.0,,3250.0,,,0.0,,,,E,,,"001",51,,S,,455.0,0.0,,,P,0.0,,2025-03-25 09:00:00.000,2025-05-15 10:00:00.000,2025-05-14 09:00:00.000,,,,2219
18,"00001825001",TTE4F56,2025-03-25,4000,09:00:00,"0  ",2025-05-06,21464,12:00:00,"0  ",2027-06-17,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,18,N,,,,0.0,,52910.0,,,0.0,,,,E,,,"001",42,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2025-05-06 12:00:00.000,2027-06-17 09:00:00.000,,,,17464
19,"00001925001",TTF3I02,2025-03-25,4000,09:00:00,"0  ",2027-06-17,6800,09:30:00,"0  ",2027-06-17,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,19,N,,,,0.0,,52910.0,,,0.0,,,,E,,,"001",814,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,2027-06-17 09:30:00.000,2027-06-17 09:00:00.000,,,,2800
20,"00002025001",TTF3I03,2025-03-25,6000,09:00:00,"0  ",,,,,2027-06-18,09:00:00,116,L,455.0,,0.0,0.0,,0.0,0.0,,600.0,,0.0,,,,"","",,,,,,,N,1,0.0,AS,0.0,,,0,0,,,20,N,,,,0.0,,52975.0,,,0.0,,,,A,,,"001",815,,S,,455.0,0.0,,,,,,2025-03-25 09:00:00.000,,2027-06-18 09:00:00.000,,,,0
